NAME : a280
COMMENT : drilling problem (Ludwig)
TYPE : TSP
DIMENSION: 279
EDGE_WEIGHT_TYPE : EUC_2D
NODE_COORD_SECTION
  1 288 149
  2 288 129
  3 270 133
  4 256 141
  5 256 157
  6 246 157
  7 236 169
  8 228 169
  9 228 161
 10 220 169
 11 212 169
 12 204 169
 13 196 169
 14 188 169
 15 196 161
 16 188 145
 17 172 145
 18 164 145
 19 156 145
 20 148 145
 21 140 145
 22 148 169
 23 164 169
 24 172 169
 25 156 169
 26 140 169
 27 132 169
 28 124 169
 29 116 161
 30 104 153
 31 104 161
 32 104 169
 33  90 165
 34  80 157
 35  64 157
 36  64 165
 37  56 169
 38  56 161
 39  56 153
 40  56 145
 41  56 137
 42  56 129
 43  56 121
 44  40 121
 45  40 129
 46  40 137
 47  40 145
 48  40 153
 49  40 161
 50  40 169
 51  32 169
 52  32 161
 53  32 153
 54  32 145
 55  32 137
 56  32 129
 57  32 121
 58  32 113
 59  40 113
 60  56 113
 61  56 105
 62  48  99
 63  40  99
 64  32  97
 65  32  89
 66  24  89
 67  16  97
 68  16 109
 69   8 109
 70   8  97
 71   8  89
 72   8  81
 73   8  73
 74   8  65
 75   8  57
 76  16  57
 77   8  49
 78   8  41
 79  24  45
 80  32  41
 81  32  49
 82  32  57
 83  32  65
 84  32  73
 85  32  81
 86  40  83
 87  40  73
 88  40  63
 89  40  51
 90  44  43
 91  44  35
 92  44  27
 93  32  25
 94  24  25
 95  16  25
 96  16  17
 97  24  17
 98  32  17
 99  44  11
100  56   9
101  56  17
102  56  25
103  56  33
104  56  41
105  64  41
106  72  41
107  72  49
108  56  49
109  48  51
110  56  57
111  56  65
112  48  63
113  48  73
114  56  73
115  56  81
116  48  83
117  56  89
118  56  97
119 104  97
120 104 105
121 104 113
122 104 121
123 104 129
124 104 137
125 104 145
126 116 145
127 124 145
128 132 145
129 132 137
130 140 137
131 148 137
132 156 137
133 164 137
134 172 125
135 172 117
136 172 109
137 172 101
138 172  93
139 172  85
140 180  85
141 180  77
142 180  69
143 180  61
144 180  53
145 172  53
146 172  61
147 172  69
148 172  77
149 164  81
150 148  85
151 124  85
152 124  93
153 124 109
154 124 125
155 124 117
156 124 101
157 104  89
158 104  81
159 104  73
160 104  65
161 104  49
162 104  41
163 104  33
164 104  25
165 104  17
166  92   9
167  80   9
168  72   9
169  64  21
170  72  25
171  80  25
172  80  41
173  88  49
174 104  57
175 124  69
176 124  77
177 132  81
178 140  65
179 132  61
180 124  61
181 124  53
182 124  45
183 124  37
184 124  29
185 132  21
186 124  21
187 120   9
188 128   9
189 136   9
190 148   9
191 162   9
192 156  25
193 172  21
194 180  21
195 180  29
196 172  29
197 172  37
198 172  45
199 180  45
200 180  37
201 188  41
202 196  49
203 204  57
204 212  65
205 220  73
206 228  69
207 228  77
208 236  77
209 236  69
210 236  61
211 228  61
212 228  53
213 236  53
214 236  45
215 228  45
216 228  37
217 236  37
218 236  29
219 228  29
220 228  21
221 236  21
222 252  21
223 260  29
224 260  37
225 260  45
226 260  53
227 260  61
228 260  69
229 260  77
230 276  77
231 276  69
232 276  61
233 276  53
234 284  53
235 284  61
236 284  69
237 284  77
238 284  85
239 284  93
240 284 101
241 288 109
242 280 109
243 276 101
244 276  93
245 276  85
246 268  97
247 260 109
248 252 101
249 260  93
250 260  85
251 236  85
252 228  85
253 228  93
254 236  93
255 236 101
256 228 101
257 228 109
258 228 117
259 228 125
260 220 125
261 212 117
262 204 109
263 196 101
264 188  93
265 180  93
266 180 101
267 180 109
268 180 117
269 180 125
270 196 145
271 204 145
272 212 145
273 220 145
274 228 145
275 236 145
276 246 141
277 252 125
278 260 129
279 280 133
EOF
